30102023,30.4,29.7
29102023,37.5,29.7
28102023,33.5,29.7
27102023,30.1,20.3
26102023,29.0,19.5
25102023,30.1,21.0
24102023,27.9,22.9
23102023,34.4,27.5
22102023,40.8,28.0
21102023,38.9,25.4
20102023,32.8,22.7
19102023,33.7,21.5
18102023,33.3,23.4
17102023,41.5,26.3
16102023,43.0,29.0
15102023,39.3,22.9
14102023,32.7,15.4
13102023,25.5,13.8
12102023,21.2,13.5
11102023,40.8,21.2
10102023,34.8,21.8
09102023,32.0,17.5
08102023,28.7,19.2
07102023,22.4,19.3
06102023,31.9,21.3
05102023,27.0,17.6
04102023,32.6,17.9
03102023,41.9,26.7
02102023,35.2,17.3
01102023,31.7,18.2
30092023,27.1,18.0
29092023,29.5,16.9
28092023,26.8,16.1
27092023,18.9,16.0
26092023,37.1,18.1
25092023,38.6,24.0
24092023,42.4,28.3
23092023,41.9,27.5
22092023,42.4,27.3
21092023,39.7,23.4
20092023,30.0,19.3
19092023,26.1,16.6
18092023,38.3,20.2
17092023,39.4,24.9
16092023,34.9,19.1
15092023,28.2,14.5
14092023,24.5,13.2
13092023,15.3,11.8
12092023,34.7,15.1
11092023,37.6,24.4
10092023,33.2,19.3
09092023,23.2,16.7
08092023,27.5,17.4
07092023,31.7,20.5
06092023,30.2,16.2
05092023,22.8,15.0
04092023,23.1,15.2
03092023,36.9,22.4
02092023,29.5,21.0
01092023,36.4,21.8
31082023,34.6,21.8
30082023,31.7,20.7
29082023,29.9,19.9
28082023,27.5,11.1
27082023,23.7,9.6°
26082023,24.0,11.7
25082023,24.2,15.3
24082023,20.8,17.0
23082023,37.7,20.7
22082023,37.2,23.3
21082023,32.7,21.1
20082023,27.6,17.4
19082023,23.9,16.2
18082023,26.6,16.1
17082023,36.0,23.6
16082023,34.3,23.8
15082023,32.0,21.2
14082023,28.4,13.7
13082023,19.7,12.4
12082023,24.7,14.7
11082023,32.0,20.4
10082023,32.8,19.8
09082023,26.7,17.7
08082023,24.0,18.5
07082023,34.9,20.7
06082023,34.7,23.6
05082023,33.1,24.8
04082023,34.4,24.0
03082023,35.3,24.1
02082023,32.8,22.5
01082023,32.4,23.1
31072023,32.3,22.0
30072023,27.5,18.4
29072023,24.7,12.3
28072023,19.7,16.0
27072023,18.9,14.1
26072023,23.5,15.3
25072023,21.5,16.1
24072023,31.3,18.9
23072023,33.1,21.2
22072023,32.3,21.9
21072023,31.9,20.9
20072023,27.1,15.7
19072023,20.2,6.4
18072023,16.3,-145
17072023,17.8,-115
16072023,106.,-250
15072023,61.2,-146
14072023,22.2,9.6
13072023,14.8,10.2
12072023,29.7,14.3
11072023,29.6,22.4
10072023,28.4,22.4
09072023,27.8,21.6
08072023,26.1,20.3
07072023,30.8,23.1
06072023,30.5,22.2
05072023,26.1,21.6
04072023,27.5,20.7
03072023,29.0,20.3
02072023,28.3,20.0
01072023,28.2,21.3
30062023,28.9,16.0
29062023,23.3,16.3
28062023,28.3,17.2
27062023,29.7,20.1
26062023,30.7,20.8
25062023,30.5,21.8
24062023,30.9,21.4
23062023,29.1,18.4
22062023,25.9,17.4
21062023,27.7,18.6
20062023,25.7,18.2
19062023,23.9,13.4
18062023,20.6,11.5
17062023,20.1,13.2
16062023,16.6,12.7
15062023,15.0,11.9
14062023,14.1,8.0°
13062023,12.9,8.4°
12062023,13.7,9.5°
11062023,21.7,11.8
10062023,30.2,22.3
09062023,30.5,19.7
08062023,28.4,20.1
07062023,28.0,20.1
06062023,28.1,20.3
05062023,26.9,22.2
04062023,29.2,21.5
03062023,27.9,20.4
02062023,27.4,18.5
01062023,26.6,19.8
31052023,24.6,17.7
30052023,24.0,16.7
29052023,23.1,15.9
28052023,21.7,16.6
27052023,31.7,21.7
26052023,29.4,22.6
25052023,29.3,21.6
24052023,29.5,22.9
23052023,29.8,22.0
22052023,28.0,18.8
21052023,21.5,17.5
20052023,23.7,18.9
19052023,28.6,20.5
18052023,28.0,19.8
17052023,28.0,17.9
16052023,27.7,18.7
15052023,27.2,17.2
14052023,26.5,14.5
13052023,25.1,13.3
12052023,23.5,13.5
11052023,25.9,16.2
10052023,25.7,16.0
09052023,23.7,15.0
08052023,22.7,17.1
07052023,19.7,18.2
06052023,20.3,17.3
05052023,20.2,17.0
04052023,19.7,16.6
03052023,19.8,16.0
02052023,21.0,16.4
01052023,32.7,21.1
30042023,32.4,22.8
29042023,29.8,19.6
28042023,27.7,18.4
27042023,26.5,17.0
26042023,24.5,18.2
25042023,21.6,18.5
24042023,30.6,20.6
23042023,29.1,18.7
22042023,28.6,20.1
21042023,26.2,16.2
20042023,23.4,15.6
19042023,26.6,17.7
18042023,26.1,19.2
17042023,24.8,20.5
16042023,26.2,21.3
15042023,29.1,18.6
14042023,21.7,19.0
13042023,27.5,19.5
12042023,33.6,25.0
11042023,33.2,24.3
10042023,33.1,22.8
09042023,31.8,19.7
08042023,29.4,19.6
07042023,28.0,20.6
06042023,25.1,21.0
05042023,25.3,20.3
04042023,33.9,21.9
03042023,35.6,23.5
02042023,33.6,21.5
01042023,30.2,22.9
31032023,34.8,21.4
30032023,29.3,20.3
29032023,37.6,26.4
28032023,35.2,23.2
27032023,32.8,23.1
26032023,31.3,24.4
25032023,35.5,25.2
24032023,36.3,25.6
23032023,37.0,28.1
22032023,36.9,26.5
21032023,36.0,28.1
20032023,35.5,25.4
19032023,34.3,26.2
18032023,34.6,26.4
17032023,34.0,25.2
16032023,30.9,24.4
15032023,26.6,24.1
14032023,33.8,24.4
13032023,33.9,25.5
12032023,35.4,26.9
11032023,35.9,26.3
10032023,34.9,23.8
09032023,28.9,22.9
08032023,32.0,22.1
07032023,32.7,22.8
06032023,36.6,24.4
05032023,35.2,24.4
04032023,36.8,23.5
03032023,32.1,22.9
02032023,26.6,20.2
01032023,26.9,22.5
28022023,34.5,24.4
27022023,32.4,22.6
26022023,29.1,22.0
25022023,34.5,23.1
24022023,33.6,21.7
23022023,32.6,22.8
22022023,34.4,22.3
21022023,35.0,21.3
20022023,34.5,20.2
19022023,28.4,16.3
18022023,24.7,12.5
17022023,25.4,16.7
16022023,35.1,22.2
15022023,33.1,22.8
14022023,38.3,22.8
13022023,38.4,24.9
12022023,37.7,26.3
11022023,36.3,23.3
10022023,36.9,23.7
09022023,37.6,23.9
08022023,38.5,26.0
07022023,39.6,26.3
06022023,37.8,26.6
