20042023,25.7,9.8,0
19042023,27.7,11.8,0
18042023,27.1,13.9,0
17042023,24.4,15.6,1.9
16042023,28.2,20.1,2.2
15042023,3.0,20.6,2.2
14042023,22.2,19.1,2.2
13042023,25.1,18.2,2.2
12042023,35.2,18.7,2.2
11042023,34.1,21.1,2.2
10042023,34.4,20.4,2.2
09042023,32.9,17.8,2.2
08042023,30.7,15.2,4.0
07042023,28.5,16.8,0
06042023,23.8,19.1,0.9
05042023,24.6,20.4,3.3
04042023,34.5,20.4,0.2
03042023,37.1,20.6,0
02042023,35.5,16.4,0
01042023,32.4,15.9,0
31032023,36.4,20.1,0
30032023,27.1,17.7,34.2
29032023,37.6,18.5,0
28032023,36.6,22.6,0
27032023,33.9,17.5,0
26032023,25.5,18.2,0
25032023,36.2,25.3,0
24032023,37.5,22.4,3.1
23032023,38.1,23.1,0
22032023,38.2,22.7,0
21032023,37.7,22.6,0
20032023,37.2,22.1,0
19032023,35.0,21.7,0
18032023,35.2,22.1,0
17032023,34.5,22.3,0
16032023,32.4,22.8,0
15032023,27.3,22.8,8.9
14032023,34.5,23.1,0
13032023,34.7,22.8,0
12032023,23.8,23.0,0
11032023,37.2,23.1,0
10032023,36.1,22.3,0
09032023,29.6,20.9,8.9
08032023,32.8,22.0,0
07032023,33.6,22.0,0.3
06032023,36.1,19.3,0
05032023,36.2,19.2,0
04032023,35.4,22.1,0
03032023,31.1,23.4,0.2
02032023,27.8,22.2,32.9
01032023,24.8,20.1,9.5
28022023,34.7,20.9,0
27022023,32.9,21.8,0
26022023,29.3,21.9,0
25022023,35.4,20.7,0.6
24022023,32.7,21.8,0
23022023,32.2,21.3,5.5
22022023,35.6,21.3,10.9
21022023,35.6,20.9,0
20022023,34.9,18.6,0
19022023,30.7,18.9,0
18022023,25.4,15.6,0
17022023,25.7,11.4,0
16022023,35.3,16.3,10.8
15022023,34.0,21.3,2.7
14022023,38.4,21.8,23.6
13022023,37.6,21.7,0
12022023,39.3,24.4,0
11022023,37.9,22.6,0
10022023,37.9,21.1,0
09022023,38.2,20.8,12.6
08022023,40.1,22.1,0
07022023,40.4,22.3,0
06022023,38.1,21.9,0
05022023,36.1,20.6,0
04022023,35.3,20.1,0
03022023,31.5,20.9,0
02022023,38.0,22.3,0.2
01022023,36.5,23.2,0
31012023,34.8,22.5,0
30012023,31.9,21.9,17.8
29012023,39.3,21.6,0
28012023,40.2,23.5,0
27012023,39.7,23.0,0
26012023,39.0,22.6,0
25012023,39.0,24.4,4.5
24012023,37.8,23.1,790.0
23012023,37.2,22.2,674.0
22012023,32.6,21.1,4.8
21012023,40.5,22.6,0
20012023,38.8,26.3,776.0
19012023,38.6,22.8,695.0
18012023,38.0,23.0,23.2
17012023,39.3,24.3,15.9
16012023,37.1,21.3,1.7
15012023,33.8,19.6,0
14012023,32.7,18.8,0
13012023,25.6,19.1,42.3
12012023,36.8,19.8,0
11012023,38.2,23.6,0.1
10012023,37.7,21.5,0
09012023,36.0,20.8,0
08012023,35.3,19.5,0
07012023,35.0,18.4,0
06012023,35.7,18.0,0.7
05012023,36.9,19.1,0
04012023,34.2,18.3,0.1
03012023,27.9,17.1,36.0
02012023,32.3,20.4,11.1
01012023,41.8,23.4,0
31122022,41.2,24.3,0
30122022,38.9,19.8,0
29122022,36.1,18.7,0
28122022,33.1,16.9,0.3
27122022,38.7,18.9,17.8
26122022,37.2,19.8,0.3
25122022,36.7,21.9,0
24122022,35.9,21.1,0
23122022,38.2,22.1,0
22122022,37.4,21.7,0.1
21122022,38.9,20.2,0
20122022,38.1,20.4,0
19122022,36.2,19.8,0
18122022,35.6,19.7,0
17122022,36.4,19.0,0
16122022,35.9,17.4,0
15122022,37.3,21.1,0.5
14122022,36.2,19.2,0.1
13122022,34.6,15.4,1.4
12122022,34.5,19.2,0
11122022,34.4,24.3,0
10122022,Sin ,23.7,0
09122022,Sin ,Sin ,0
08122022,30.4,Sin ,0
07122022,40.4,26.3,0
06122022,40.3,24.1,0
05122022,37.9,23.7,0.1
04122022,37.1,21.1,0
03122022,34.3,21.9,0
02122022,31.2,21.1,0
01122022,34.8,21.9,0
30112022,36.9,20.8,0.1
29112022,36.1,20.4,0
28112022,34.6,20.1,0
27112022,36.7,22.2,0
26112022,37.2,20.1,0
25112022,36.1,17.8,0
24112022,32.8,18.7,0
23112022,30.2,14.1,0
22112022,26.1,14.0,1.1
21112022,23.0,17.1,10.3
20112022,36.0,20.5,0
19112022,34.5,20.9,0
18112022,33.7,16.0,1.0
17112022,33.6,16.7,0
16112022,31.8,15.1,0
15112022,31.3,14.6,0
14112022,28.1,14.6,1.3
13112022,26.7,15.3,70.9
12112022,30.1,19.4,6.1
11112022,31.2,21.4,0
10112022,25.6,17.8,13.3
09112022,32.4,18.4,0
08112022,31.5,13.7,0
07112022,31.1,13.9,0
