13032023,34.7,22.8
12032023,23.8,23.0
11032023,37.2,23.1
10032023,36.1,22.3
09032023,29.6,20.9
08032023,32.8,22.0
07032023,33.6,22.0
06032023,36.1,19.3
05032023,36.2,19.2
04032023,35.4,22.1
03032023,31.1,23.4
02032023,27.8,22.2
01032023,24.8,20.1
28022023,34.7,20.9
27022023,32.9,21.8
26022023,29.3,21.9
25022023,35.4,20.7
24022023,32.7,21.8
23022023,32.2,21.3
22022023,35.6,21.3
21022023,35.6,20.9
20022023,34.9,18.6
19022023,30.7,18.9
18022023,25.4,15.6
17022023,25.7,11.4
16022023,35.3,16.3
15022023,34.0,21.3
14022023,38.4,21.8
13022023,37.6,21.7
12022023,39.3,24.4
11022023,37.9,22.6
10022023,37.9,21.1
09022023,38.2,20.8
08022023,40.1,22.1
07022023,40.4,22.3
06022023,38.1,21.9
05022023,36.1,20.6
04022023,35.3,20.1
03022023,31.5,20.9
02022023,38.0,22.3
01022023,36.5,23.2
31012023,34.8,22.5
30012023,31.9,21.9
29012023,39.3,21.6
28012023,40.2,23.5
27012023,39.7,23.0
26012023,39.0,22.6
25012023,39.0,24.4
24012023,37.8,23.1
23012023,37.2,22.2
22012023,32.6,21.1
21012023,40.5,22.6
20012023,38.8,26.3
19012023,38.6,22.8
18012023,38.0,23.0
17012023,39.3,24.3
16012023,37.1,21.3
15012023,33.8,19.6
14012023,32.7,18.8
13012023,25.6,19.1
12012023,36.8,19.8
11012023,38.2,23.6
10012023,37.7,21.5
09012023,36.0,20.8
08012023,35.3,19.5
07012023,35.0,18.4
06012023,35.7,18.0
05012023,36.9,19.1
04012023,34.2,18.3
03012023,27.9,17.1
02012023,32.3,20.4
01012023,41.8,23.4
31122022,41.2,24.3
30122022,38.9,19.8
29122022,36.1,18.7
28122022,33.1,16.9
27122022,38.7,18.9
26122022,37.2,19.8
25122022,36.7,21.9
24122022,35.9,21.1
23122022,38.2,22.1
22122022,37.4,21.7
21122022,38.9,20.2
20122022,38.1,20.4
19122022,36.2,19.8
18122022,35.6,19.7
17122022,36.4,19.0
16122022,35.9,17.4
15122022,37.3,21.1
14122022,36.2,19.2
13122022,34.6,15.4
12122022,34.5,19.2
11122022,34.4,24.3
10122022,Sin ,23.7
09122022,Sin ,Sin 
08122022,30.4,Sin 
07122022,40.4,26.3
06122022,40.3,24.1
05122022,37.9,23.7
04122022,37.1,21.1
03122022,34.3,21.9
02122022,31.2,21.1
01122022,34.8,21.9
30112022,36.9,20.8
29112022,36.1,20.4
28112022,34.6,20.1
27112022,36.7,22.2
26112022,37.2,20.1
25112022,36.1,17.8
24112022,32.8,18.7
23112022,30.2,14.1
22112022,26.1,14.0
21112022,23.0,17.1
20112022,36.0,20.5
19112022,34.5,20.9
18112022,33.7,16.0
17112022,33.6,16.7
16112022,31.8,15.1
15112022,31.3,14.6
14112022,28.1,14.6
13112022,26.7,15.3
12112022,30.1,19.4
11112022,31.2,21.4
10112022,25.6,17.8
09112022,32.4,18.4
08112022,31.5,13.7
07112022,31.1,13.9
